,h3,count,geometry
0,88194ac001fffff,6,"POLYGON ((-0.1280688281952808 51.32910619798746, -0.1347561845254459 51.32790512543607, -0.1359758117326402 51.3234221988309, -0.1305088597112075 51.32014061295664, -0.1238225635295051 51.32134172721992, -0.1226021593312557 51.32582438563057, -0.1280688281952808 51.32910619798746))"
1,88194ac003fffff,1,"POLYGON ((-0.1238225635295051 51.32134172721992, -0.1305088597112075 51.32014061295664, -0.131728608966609 51.31565746633085, -0.1262628388101398 51.31237570222357, -0.1195776025145839 51.31357685829484, -0.1183570765997923 51.3180597366504, -0.1238225635295051 51.32134172721992))"
2,88194ac007fffff,10,"POLYGON ((-0.1359758117326402 51.3234221988309, -0.1426627959494688 51.32222041151837, -0.1438817681413241 51.31773699672481, -0.138414533290329 51.31445563739658, -0.131728608966609 51.31565746633085, -0.1305088597112075 51.32014061295664, -0.1359758117326402 51.3234221988309))"
3,88194ac009fffff,9,"POLYGON ((-0.1201608176303113 51.33478899406493, -0.1268485458593129 51.33358863630772, -0.1280688281952808 51.32910619798746, -0.1226021593312557 51.32582438563057, -0.1159154915060421 51.32702478518981, -0.1146944322516153 51.33150695528891, -0.1201608176303113 51.33478899406493))"
4,88194ac00bfffff,1,"POLYGON ((-0.1159154915060421 51.32702478518981, -0.1226021593312557 51.32582438563057, -0.1238225635295051 51.32134172721992, -0.1183570765997923 51.3180597366504, -0.111671468915866 51.31926017810778, -0.1104502881308609 51.32374256822158, -0.1159154915060421 51.32702478518981))"
5,88194ac00dfffff,2,"POLYGON ((-0.1323163970658587 51.33687027021043, -0.1390048138068726 51.33566923927479, -0.1402243188199486 51.33118653283574, -0.1347561845254459 51.32790512543607, -0.1280688281952808 51.32910619798746, -0.1268485458593129 51.33358863630772, -0.1323163970658587 51.33687027021043))"
6,88194ac013fffff,1,"POLYGON ((-0.1031873321231253 51.30372977087085, -0.1098708203117214 51.30252924532911, -0.1110915892228339 51.29804592752024, -0.105629645648389 51.29476340376205, -0.09894721681393115 51.2959639714899, -0.0977256723101548 51.3004470207749, -0.1031873321231253 51.30372977087085))"
7,88194ac015fffff,7,"POLYGON ((-0.1195776025145839 51.31357685829484, -0.1262628388101398 51.31237570222357, -0.1274827099679487 51.30789233572268, -0.1220181212685082 51.30461039362397, -0.1153339445968174 51.30581159159924, -0.1141132971111213 51.31029468975423, -0.1195776025145839 51.31357685829484))"
8,88194ac017fffff,3,"POLYGON ((-0.1153339445968174 51.30581159159924, -0.1220181212685082 51.30461039362397, -0.123238114183036 51.30012680739355, -0.117774706532839 51.29684468754499, -0.1110915892228339 51.29804592752024, -0.1098708203117214 51.30252924532911, -0.1153339445968174 51.30581159159924))"
9,88194ac023fffff,3,"POLYGON ((-0.1560370795169717 51.31981544888767, -0.1627243785082433 51.31861227349755, -0.1639419182584486 51.31412810257372, -0.1584729366676105 51.31084737506341, -0.1517866973204611 51.31205059179883, -0.1505683800304342 51.31653449468423, -0.1560370795169717 51.31981544888767))"
10,88194ac02bfffff,4,"POLYGON ((-0.1481312130039275 51.32550159235161, -0.1548188847927905 51.32429913174646, -0.1560370795169717 51.31981544888767, -0.1505683800304342 51.31653449468423, -0.1438817681413241 51.31773699672481, -0.1426627959494688 51.32222041151837, -0.1481312130039275 51.32550159235161))"
11,88194ac02dfffff,1,"POLYGON ((-0.1645417597872349 51.33534396632709, -0.1712311788525227 51.33414087333902, -0.172448472660978 51.32965714276553, -0.1669771257184164 51.32637677305186, -0.1602887668211294 51.32757990719286, -0.1590706948088703 51.33206336987951, -0.1645417597872349 51.33534396632709))"
12,88194ac031fffff,1,"POLYGON ((-0.139633627716228 51.3099720026522, -0.146319179967663 51.30876945908001, -0.1475376196774845 51.30428533631361, -0.1420712840505292 51.30100402532113, -0.1353867911748221 51.30220661052095, -0.1341675746607299 51.30669046507059, -0.139633627716228 51.3099720026522))"
13,88194ac033fffff,1,"POLYGON ((-0.1353867911748221 51.30220661052095, -0.1420712840505292 51.30100402532113, -0.1432898460342533 51.29651968281937, -0.1378246917254288 51.29323819379489, -0.1311412579635181 51.29444082071833, -0.1299219195069562 51.29892489492763, -0.1353867911748221 51.30220661052095))"
14,88194ac039fffff,2,"POLYGON ((-0.131728608966609 51.31565746633085, -0.138414533290329 51.31445563739658, -0.139633627716228 51.3099720026522, -0.1341675746607299 51.30669046507059, -0.1274827099679487 51.30789233572268, -0.1262628388101398 51.31237570222357, -0.131728608966609 51.31565746633085))"
15,88194ac03bfffff,1,"POLYGON ((-0.1274827099679487 51.30789233572268, -0.1341675746607299 51.30669046507059, -0.1353867911748221 51.30220661052095, -0.1299219195069562 51.29892489492763, -0.123238114183036 51.30012680739355, -0.1220181212685082 51.30461039362397, -0.1274827099679487 51.30789233572268))"
16,88194ac03dfffff,3,"POLYGON ((-0.1438817681413241 51.31773699672481, -0.1505683800304342 51.31653449468423, -0.1517866973204611 51.31205059179883, -0.146319179967663 51.30876945908001, -0.139633627716228 51.3099720026522, -0.138414533290329 51.31445563739658, -0.1438817681413241 51.31773699672481))"
17,88194ac041fffff,6,"POLYGON ((-0.1164974712516259 51.34823413511389, -0.12318663208655 51.3470345339798, -0.1244074478426975 51.34255280434623, -0.1189398800521353 51.33927094400395, -0.1122517801389654 51.34047058693406, -0.11103018720522 51.34495204839544, -0.1164974712516259 51.34823413511389))"
18,88194ac043fffff,16,"POLYGON ((-0.1122517801389654 51.34047058693406, -0.1189398800521353 51.33927094400395, -0.1201608176303113 51.33478899406493, -0.1146944322516153 51.33150695528891, -0.1080073929974983 51.3327066401112, -0.1067856785736186 51.33718832180235, -0.1122517801389654 51.34047058693406))"
